family_size,age_group_distribution,income_level,preferred_travel_month,home_state,travel_mode_preference,average_stay_days,accommodation_preference,food_preference,activity_preference,destination_city,destination_type,state_of_destination,distance_from_home,average_weather,crowd_level,safety_index,nearest_airport_km,avg_hotel_cost_per_night,popular_attractions,transport_cost,stay_cost,food_cost,activity_cost,total_budget
7,"0 kids, 1 adults, 6 seniors",Middle,April,Goa,Train,3,Resort,Veg,Wildlife,Jaipur,Historical,Rajasthan,330,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",700,14400,6300,1267,22667
3,"0 kids, 3 adults, 0 seniors",Middle,September,Goa,Bus,10,Hotel,Special Dietary,Wildlife,Kovalam,Beach,Kerala,226,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",240,30000,16500,7601,54341
3,"2 kids, 1 adults, 0 seniors",Middle,March,Goa,Car,7,Hotel,Special Dietary,Adventure,Agra,Historical,Uttar Pradesh,1608,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",14300,17500,11550,2666,46016
8,"0 kids, 8 adults, 0 seniors",Middle,July,Kerala,Flight,12,Resort,Mixed,Wildlife,Goa,Beach,Goa,484,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",9600,81000,38400,6417,135417
3,"1 kids, 1 adults, 1 seniors",High,February,Tamil Nadu,Train,12,Homestay,Non-Veg,Relaxation,Agra,Historical,Uttar Pradesh,1058,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",615,24000,16200,2687,43502
7,"0 kids, 5 adults, 2 seniors",Middle,September,Punjab,Train,9,Hotel,Non-Veg,Food & Market,Agra,Historical,Uttar Pradesh,429,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",700,22500,28350,762,52312
8,"2 kids, 4 adults, 2 seniors",Middle,April,West Bengal,Bus,7,Hotel,Special Dietary,Pilgrimage,Kaziranga,Wildlife,Assam,2079,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",728,18200,30800,3669,53397
3,"0 kids, 3 adults, 0 seniors",Middle,May,Punjab,Flight,11,Hotel,Non-Veg,Sightseeing,Rishikesh,Adventure,Uttarakhand,2221,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",3675,26400,14850,2771,47696
8,"0 kids, 3 adults, 5 seniors",Middle,November,Tamil Nadu,Flight,8,Hotel,Special Dietary,Wildlife,Kovalam,Beach,Kerala,2466,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",10320,24000,35200,6572,76092
7,"0 kids, 6 adults, 1 seniors",High,May,Bihar,Flight,3,Hotel,Non-Veg,Pilgrimage,Manali,Hill Station,Himachal Pradesh,1278,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",8400,10500,9450,6741,35091
